NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC,longitude,latitude
Nilam Bazar,village,,,,,92.36710000000,24.75740000000
Karimganj,town,,,,,92.36811140000,24.86472140000
Abdu Uapur,village,,,,,92.36970000000,24.56170000000
Karimganj,village,,,,,92.36970000000,24.82270000000
Khliemriat,town,,,,,92.37301050000,25.33590260000
14 MILE,locality,,,,,92.37305000000,27.31613000000
Marigaon,village,,,,,92.38007510000,26.25321740000
Umshnong,village,,,,,92.38599260000,25.27120040000
NINE MILE,locality,,,,,92.39365000000,27.29141000000
Barato,village,,,,,92.39740000000,25.68839870000
Khanduli,village,,,,,92.39900730000,25.73209670000
WANGHO,locality,,,,,92.41425000000,27.24472000000
Bomdi La,town,,,,,92.42111000000,27.26257000000
Laskein,town,,,,,92.42153400000,25.51366930000
TENGA,locality,,,,,92.42661000000,27.21863000000
Dullabhcherra,village,,,,,92.44266630000,24.48611380000
Sutnga,village,,,,,92.45241270000,25.38152470000
Ratacherra,village,,,,,92.46144410000,25.03189010000
DKHIAJULI,locality,,,,,92.47605000000,26.70364000000
Dhing,village,,,,,92.47770000000,26.45750000000
Dhekiajuli,village,,,,,92.48230000000,26.70630000000
Mynser,village,,,,,92.48680000000,25.88340000000
Khaddum,village,,,,,92.49120000000,25.15470000000
Darrang,county,,,,,92.50000000000,26.75000000000
SINGRI,locality,,,,,92.50351000000,26.59790000000
Singri,village,,,,,92.50900000000,26.62600000000
Raha,village,,,,,92.51683950000,26.22971450000
SESSA ORCHID SANCTUARY,locality,,,,,92.52548000000,27.10465000000
Bhairabii,village,,,,,92.52741680000,24.19176160000
Kukichara,village,,,,,92.53499190000,24.28292700000
Katliohara,village,,,,,92.54910000000,24.40800000000
NEW KASPI,locality,,,,,92.56119000000,27.20627000000
Hailakandi,town,,,,,92.56214710000,24.67854980000
FISHING,locality,,,,,92.56806000000,27.19940000000
JAMERI,locality,,,,,92.57218000000,27.19391000000
NICHIPHU,locality,,,,,92.57767000000,27.16507000000
Badarpur,village,,,,,92.58288850000,24.87339640000
Doimara,village,,,,,92.58750000000,27.06200000000
ELEPHANT,locality,,,,,92.59003000000,27.09229000000
Bualpui,village,,,,,92.60237550000,24.09280000000
Bhutiachang,village,,,,,92.60300000000,26.94230000000
Dhaleswar,village,,,,,92.60632970000,24.85857640000
TIPI IB,locality,,,,,92.60651000000,27.03735000000
Umednagar,village,,,,,92.60907770000,24.55791830000
Tippi Town,locality,,,,,92.61200000000,27.02774000000
