NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC
RIM PASS N,locality,,,,
NARAYANPUR,locality,,,,
Gobmi,village,,,,
Garampani,village,,,,
LICHI,locality,,,,
Bihpuriagaon,village,,,,
Pemir,village,,,,
Potin,village,,,,
Nij Laluk,village,,,,
HAWA CAMP,locality,,,,
Golaghat,town,,,,
DERGAON,locality,,,,
CHECKPOST,locality,,,,
Nahorani,village,,,,
Khonoma,village,,,,
Senapati,village,,,,
Karong,village,,,,
Diju,village,,,,
PAUMARA,locality,,,,
Merima,village,,,,
Kohima,city,,,,
North Lakhimpur,town,,,,
KALI GHAT,locality,,,,
Majuli Island,island,,,,
Kohīma,county,,,,
Nargargaon,village,,,,
Tibatar,village,,,,
Sanis,village,,,,
Jorhat,city,,,,
TOP RAPID,locality,,,,
REST STOP,locality,,,,
Tseminyu,village,,,,
Nimati Ghat,village,,,,
Gohaingaon,village,,,,
SUBANSARI BR,locality,,,,
Nāgāland,state,,,,
Wokha,county,,,,
Mokokchūng,county,,,,
Lakhimpur,county,,,,
Wokha,village,,,,
Mariani,village,,,,
Pathalipam,village,,,,
Neamati,village,,,,
Teok,village,,,,
Bordoloni,village,,,,
Chongliyimsen,village,,,,
Bordoloni,village,,,,
Sakhai,village,,,,
Jhanji,village,,,,
Sakhalu,village,,,,
Phek,county,,,,
Zunheboto,county,,,,
Mokokchung,village,,,,
Amguri,village,,,,
GAURIAGAR,locality,,,,
Dhemaji,village,,,,
Tzudikong,village,,,,
Sibsagar,town,,,,
Tuli,town,,,,
Merangkong,village,,,,
Sisi Bargaon,village,,,,
Naginmara,village,,,,
Sepon,village,,,,
Silapathar,village,,,,
Kulajan,village,,,,
Simalugiri,village,,,,
Wakching,village,,,,
Tuensang District,county,,,,
Daring,village,,,,
Naginimora,village,,,,
Tuensang,village,,,,
Mon,county,,,,
Sepon,village,,,,
BORBORUAH,locality,,,,
MAJARBARI GHAT,locality,,,,
Moranhat,town,,,,
Dibrugarh,city,,,,
Dijmur,village,,,,
MIJAN GHAT,locality,,,,
Mon,county,,,,
Dibrugarh,county,,,,
Tinkhang,village,,,,
Sonari,village,,,,
Mon,village,,,,
Saoekhati,village,,,,
Chabua,village,,,,
Jonai,village,,,,
Murkong Selek,village,,,,
Niaunyu,village,,,,
Barhat,village,,,,
Honey Dew Bakery,,Duliajan,,,"786602"
Duliajan College,,Duliajan,,,"786602"
,,Duliajan,C-92,,"786602"
Jayanagar,suburb,,,,
,,Duliajan,B-189,,"786602"
BOC Gate,suburb,,,,
,,Duliajan,,,"786602"
Prarthana Hotel,,Duliajan,,,"786602"
Life Care Medical,,Duliajan,,,"786602"
,,Duliajan,TD+146,,"786602"
,,Duliajan,C-67,,"786602"
Duliajan,town,,,,
,,Duliajan,,,"786602"
,,Duliajan,D+157,,"786602"
,,Duliajan,TD+116,,"786602"
,,Duliajan,B-21,,"786602"
,,Duliajan,F-9,,"786602"
,,Duliajan,D-7,,"786602"
,,Duliajan,D-6,,"786602"
,,Duliajan,E-23,,"786602"
,,Duliajan,E-24,,"786602"
Ledum,village,,,,
,,Duliajan,D-5,,"786602"
,,Duliajan,DX-70,,"786602"
,,Duliajan,D-4,,"786602"
,,Duliajan,E-25,,"786602"
,,Duliajan,D+153,,"786602"
,,Duliajan,E-26,,"786602"
,,Duliajan,D-3,,"786602"
Tipling,suburb,,,,
,,Duliajan,D+109,,"786602"
,,Duliajan,D-2,,"786602"
,,Duliajan,D+115,,"786602"
,,Duliajan,D-1,,"786602"
,,,,,"786602"
,,Duliajan,E-88,,"786602"
,,Duliajan,F-27,,"786602"
,,Duliajan,F-28,,"786602"
,,Duliajan,D+169,,"786602"
,,Duliajan,D+168,,"786602"
Bordubi,town,,,,
,,Duliajan,E-78,,"786602"
,,Duliajan,D+91,,"786602"
,,Duliajan,D+167,,"786602"
,,Duliajan,F-29,,"786602"
,,Duliajan,F-30,,"786602"
,,,,,"786602"
,,Duliajan,D+166,,"786602"
,,,,,"786602"
,,Duliajan,A-87,,"786602"
,,Duliajan,D+165,,"786602"
,,Duliajan,F-32,,"786602"
,,Duliajan,F-31,,"786602"
,,Duliajan,A-70,,"786602"
,,,A-48,,
,,Duliajan,F-33,,"786602"
,,Duliajan,F-54,,"786602"
,,Duliajan,SAP1449,,"786602"
,,Duliajan,SAP1459,,"786602"
,,Duliajan,F-1,,"786602"
,,Duliajan,SAP1439,,"786602"
,,Duliajan,SAP1450,,"786602"
Settlement Area,suburb,,,,
,,Duliajan,D+205,,"786602"
,,Duliajan,D+83,,"786602"
,,Duliajan,D+207,,"786602"
,,Duliajan,D+126,,"786602"
,,Duliajan,SAP1765,,"786602"
,,,D+173,,
,,,D+179,,
,,,A-455,,
,,Duliajan,D+68,,"786602"
,,,A-462,,
,,,A-755,,
,,,A-746,,
OMAK S TEA ESTATE,locality,,,,
Chopnyu,village,,,,
Hotel Highway,,Tinsukia,,,
Hotel Urmila Continental,,Tinsukia,,,
Kendriya Vidhyalaya,,Duliajan,,,"786602"
SIKA BAMIN,locality,,,,
Big Bazaar,,Tinsukia,,,
Dr.S.K.Dey Hospital,,Tinsukia,,,
Hindi High School,,Tinsukia,,,
Civil Hospital,,Tinsukia,,,
Tinsukia,town,,,,
Public Bus Station,,Tinsukia,,,
JAMPANI,locality,,,,
Jaipur,village,,,,
Dilli,village,,,,
Makum,village,,,,
Deomali,town,,,,
Khonsa,town,,,,
Moran,village,,,,
Doomdooma,village,,,,
Rupai,town,,,,
Saikhoa Ghat,village,,,,
Dangari,village,,,,
Lazu,village,,,,
Dhalla Bazaar,village,,,,
Digboi,town,,,,
Sadiya Ghat,village,,,,
Margherita,village,,,,
Kundil Bazar,village,,,,
Changlang,town,,,,
Ledo,town,,,,
Kerimgaon,village,,,,
Chapakhowa,town,,,,
Tirap,suburb,,,,
Lekhapani,village,,,,
Mahadevpur,village,,,,
Namsai,town,,,,
Tipong,suburb,,,,
Tirap,village,,,,
Sarang,village,,,,
Sunpura,village,,,,
Lathan,village,,,,
Koronu,village,,,,
Bhismaknagar,village,,,,
Jairampur,town,,,,
Kathang,hamlet,,,,
Paya,village,,,,
Namchik,hamlet,,,,
Digaru,village,,,,
